route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
1024,1602A2876,106516A1602B2876,,33rd via Hoboken,1,,1,0
1024,1604A2876,106215A1604B2876,,Journal Square via Hoboken,0,,5,0
862,1604A2876,106885A1604B2876,,World Trade Center,1,,10,0
860,1602A2876,106098A1602B2876,,Hoboken,0,,3,0
859,1602A2876,105752A1602B2876,,33rd Street,1,,2,0
862,1602A2876,107229A1602B2876,,World Trade Center,1,,10,0
861,1602A2876,106564A1602B2876,,33rd Street,1,,7,0
859,1602A2876,105740A1602B2876,,33rd Street,1,,2,0
862,1602A2876,107268A1602B2876,,World Trade Center,1,,10,0
859,1602A2876,105782A1602B2876,,33rd Street,1,,2,0
1024,1603A2876,106334A1603B2876,,33rd via Hoboken,1,,1,0
859,1602A2876,105755A1602B2876,,33rd Street,1,,2,0
1024,1604A2876,106283A1604B2876,,Journal Square via Hoboken,0,,5,0
859,1602A2876,105868A1602B2876,,Hoboken,0,,9,0
1024,1604A2876,106177A1604B2876,,33rd via Hoboken,1,,1,0
1024,1603A2876,106370A1603B2876,,33rd via Hoboken,1,,1,0
859,1602A2876,105722A1602B2876,,33rd Street,1,,2,0
862,1602A2876,107323A1602B2876,,World Trade Center,1,,10,0
1024,1603A2876,106335A1603B2876,,33rd via Hoboken,1,,1,0
1024,1604A2876,106296A1604B2876,,Journal Square via Hoboken,0,,5,0
862,1602A2876,107091A1602B2876,,Newark,0,,8,0
1024,1603A2876,106361A1603B2876,,33rd via Hoboken,1,,1,0
862,1603A2876,106940A1603B2876,,Newark,0,,8,0
860,1602A2876,106080A1602B2876,,Hoboken,0,,3,0
859,1602A2876,105850A1602B2876,,Hoboken,0,,9,0
861,1602A2876,106682A1602B2876,,Journal Square,0,,6,0
861,1602A2876,106721A1602B2876,,Journal Square,0,,6,0
1024,1603A2876,106363A1603B2876,,33rd via Hoboken,1,,1,0
859,1602A2876,105903A1602B2876,,Hoboken,0,,9,0
1024,1603A2876,106303A1603B2876,,33rd via Hoboken,1,,1,0
860,1602A2876,105992A1602B2876,,World Trade Center,1,,4,0
861,1602A2876,106748A1602B2876,,Journal Square,0,,6,0
861,1602A2876,106765A1602B2876,,Journal Square,0,,6,0
1024,1604A2876,106232A1604B2876,,Journal Square via Hoboken,0,,5,0
1024,1604A2876,106251A1604B2876,,Journal Square via Hoboken,0,,5,0
862,1604A2876,106861A1604B2876,,Newark,0,,8,0
862,1604A2876,106859A1604B2876,,Newark,0,,8,0
859,1602A2876,105892A1602B2876,,Hoboken,0,,9,0
862,1603A2876,107031A1603B2876,,World Trade Center,1,,10,0
862,1602A2876,107140A1602B2876,,Newark,0,,8,0
1024,1604A2876,106154A1604B2876,,33rd via Hoboken,1,,1,0
862,1602A2876,107058A1602B2876,,Newark,0,,8,0
860,1602A2876,105984A1602B2876,,World Trade Center,1,,4,0
862,1602A2876,107204A1602B2876,,World Trade Center,1,,10,0
859,1602A2876,105814A1602B2876,,Hoboken,0,,9,0
861,1602A2876,106690A1602B2876,,Journal Square,0,,6,0
1024,1604A2876,106152A1604B2876,,33rd via Hoboken,1,,1,0
862,1604A2876,106871A1604B2876,,World Trade Center,1,,10,0
1024,1603A2876,106325A1603B2876,,33rd via Hoboken,1,,1,0
1024,1604A2876,106256A1604B2876,,Journal Square via Hoboken,0,,5,0
861,1602A2876,106543A1602B2876,,33rd Street,1,,7,0
859,1602A2876,105870A1602B2876,,Hoboken,0,,9,0
861,1602A2876,106538A1602B2876,,33rd Street,1,,7,0
1024,1604A2876,106151A1604B2876,,33rd via Hoboken,1,,1,0
862,1602A2876,107112A1602B2876,,Newark,0,,8,0
861,1602A2876,106681A1602B2876,,Journal Square,0,,6,0
861,1602A2876,106645A1602B2876,,33rd Street,1,,7,0
1024,1603A2876,106319A1603B2876,,33rd via Hoboken,1,,1,0
859,1602A2876,105759A1602B2876,,33rd Street,1,,2,0
862,1603A2876,106957A1603B2876,,Newark,0,,8,0
860,1602A2876,106061A1602B2876,,Hoboken,0,,3,0
859,1602A2876,105884A1602B2876,,Hoboken,0,,9,0
862,1602A2876,107179A1602B2876,,Newark,0,,8,0
862,1603A2876,106983A1603B2876,,World Trade Center,1,,10,0
1024,1603A2876,106306A1603B2876,,33rd via Hoboken,1,,1,0
859,1602A2876,105895A1602B2876,,Hoboken,0,,9,0
861,1602A2876,106692A1602B2876,,Journal Square,0,,6,0
862,1604A2876,106893A1604B2876,,World Trade Center,1,,10,0
862,1603A2876,106982A1603B2876,,World Trade Center,1,,10,0
859,1602A2876,105767A1602B2876,,33rd Street,1,,2,0
862,1603A2876,106931A1603B2876,,Newark,0,,8,0
862,1603A2876,107022A1603B2876,,World Trade Center,1,,10,0
862,1603A2876,107039A1603B2876,,World Trade Center,1,,10,0
1024,1603A2876,106446A1603B2876,,Journal Square via Hoboken,0,,5,0
1024,1603A2876,106415A1603B2876,,Journal Square via Hoboken,0,,5,0
861,1602A2876,106751A1602B2876,,Journal Square,0,,6,0
859,1602A2876,105865A1602B2876,,Hoboken,0,,9,0
862,1602A2876,107057A1602B2876,,Newark,0,,8,0
862,1603A2876,107024A1603B2876,,World Trade Center,1,,10,0
861,1602A2876,106662A1602B2876,,33rd Street,1,,7,0
1024,1602A2876,106532A1602B2876,,Journal Square via Hoboken,0,,5,0
862,1602A2876,107069A1602B2876,,Newark,0,,8,0
862,1602A2876,107260A1602B2876,,World Trade Center,1,,10,0
862,1602A2876,107049A1602B2876,,Newark,0,,8,0
861,1602A2876,106653A1602B2876,,33rd Street,1,,7,0
862,1602A2876,107202A1602B2876,,World Trade Center,1,,10,0
859,1602A2876,105841A1602B2876,,Hoboken,0,,9,0
861,1602A2876,106685A1602B2876,,Journal Square,0,,6,0
1024,1604A2876,106198A1604B2876,,33rd via Hoboken,1,,1,0
859,1602A2876,105840A1602B2876,,Hoboken,0,,9,0
862,1604A2876,106890A1604B2876,,World Trade Center,1,,10,0
862,1602A2876,107330A1602B2876,,World Trade Center,1,,10,0
862,1602A2876,107115A1602B2876,,Newark,0,,8,0
862,1602A2876,107148A1602B2876,,Newark,0,,8,0
860,1602A2876,106093A1602B2876,,Hoboken,0,,3,0
1024,1604A2876,106254A1604B2876,,Journal Square via Hoboken,0,,5,0
1024,1604A2876,106188A1604B2876,,33rd via Hoboken,1,,1,0
861,1602A2876,106642A1602B2876,,33rd Street,1,,7,0
